Year,國籍_馬來西亞,國籍_新加坡,國籍_印尼,國籍_菲律賓,國籍_泰國 ,國籍_越南 ,國籍_東南亞其他地區 ,年齡_9歲及以下,年齡_10至19歲,年齡_20至29歲,年齡_30至39歲,年齡_40至49歲,年齡_50至59歲,年齡_60歲以上,目的_業務,目的_觀光,目的_探親,目的_會議,目的_求學,目的_展覽,目的_醫療,目的_其他,來臺旅客觀光支出(美元),指數80年,每一旅客平均在臺消費額(美元）,每一旅客每日平均消費額(美元）,每一旅客平均在臺停留夜數(夜) ,停留夜數_1,停留夜數_2,停留夜數_3,停留夜數_4,停留夜數_5-7,停留夜數_8-15,停留夜數_16-30,停留夜數_31-60,停留夜數_61-90,停留夜數_90以上,入境港口_小計,入境港口_基隆,入境港口_臺中,入境港口_高雄,入境港口_其他,入境機場_小計,入境機場_松山機場,入境機場_桃園機場TTY,入境機場_臺中機場,入境機場_高雄機場,入境機場_其他
2015,458401,354767,181734,139758,121337,143930,11496,366358,575074,2014944,2126664,1885288,1778173,1693284,758889,7505457,408034,60777,59204,13749,67298,1566377,14388000000,712.98,1378.18,207.87,6.63,436655,1096801,1677216,1091805,3852206,984321,225645,120792,83093,679840,600432,68473,33884,64347,433728,9839353,876794,7570823,395613,936297,59826
2016,500496,371663,192053,171816,193200,194323,15018,397178,603564,2214660,2250830,1925259,1710215,1588573,732968,7560753,428625,64704,67954,14876,38260,1782139,13374000000,662.74,1251.08,192.77,6.49,496369,1284085,1982823,1213786,3301663,1038151,239891,129142,90980,772027,529001,54125,15134,34586,425156,10161278,858616,7985330,324995,944674,47663
2017,552620,386843,193813,290303,289801,380833,27195,414241,623659,2267311,2335200,1917526,1663481,1518183,744402,7648509,455429,66519,73135,16274,30764,1704569,12315000000,610.26,1146.69,179.45,6.39,535220,1361077,2244384,1400501,2698900,990323,278772,135426,95324,912439,588264,83137,18564,61734,424829,10151337,761565,8158187,265958,880871,84756
2018,548947,389689,215891,420302,317086,490699,35795,441845,660123,2357308,2483099,1962793,1657013,1504526,738027,7594251,483052,73529,76925,17355,34701,2048867,13705000000,679.14,1238.38,191.7,6.46,578629,1454680,2299400,1455307,2598876,1014671,333021,141109,99034,1021063,651512,133721,21669,33257,462865,10415195,767739,8290084,325160,947369,84843
2019,560099,421121,234968,510966,410385,404570,36013,482046,735662,2444593,2622115,2090279,1793508,1695902,746115,8444024,478220,76308,80630,18320,55937,1964551,14411000000,714.12,1214.64,195.91,6.2,624280,1607472,2555569,1575031,2779886,1117098,262632,147906,102432,1066634,671152,125262,20502,48316,477072,11192953,780548,8949251,353501,1062798,46855
2020,74788,46225,56725,77914,63303,110053,5425,45773,85237,354162,316293,232791,187093,156512,81324,694187,79882,3831,19489,745,8191,490212,1800000000,89.2,0,0,8.29,64786,170494,310091,185558,234127,161501,69330,41543,25002,296825,46567,9358,2177,11692,23340,1331294,75394,1083842,42670,122997,6391
2021,6188,2309,14131,9350,7534,24872,1148,5449,12336,44425,37689,22487,12669,5424,11937,156,6542,102,7644,29,808,113261,745000000,36.92,5301,90.54,58.55,2695,2177,913,274,455,3289,14273,17167,7473,135637,12760,820,2824,6184,2932,127719,5232,118592,780,3115,0
2022,60742,66182,79301,64490,74356,135356,4007,37097,52930,234398,239780,156331,103466,71960,96620,254686,85921,5893,14269,1666,2015,434892,1781000000,88.26,1988,95.09,20.91,27176,30883,58284,50791,88678,88159,49110,40502,18810,309580,20055,610,5127,10559,3759,875907,47817,801744,1936,24275,135
2023,463292,423063,206023,352871,391573,382026,22383,248466,368686,1307807,1508511,1125588,954253,973640,435743,4316832,368437,41130,43557,19943,12280,1249029,8661000000,429.19,1335,180.67,7.39,270594,593568,1316664,962178,1198652,738141,230045,123980,80889,790472,170198,61875,5378,71295,31650,6316753,410639,5330727,107316,463270,4801
2024,463216,400181,231455,476746,397168,370802,26371,282018,484852,1619052,1817839,1357757,1140894,1155274,507421,5376199,362461,42157,57771,26157,14648,1470872,10028000000,496.93,1276,182.83,6.98,347442,927831,1746975,1142959,1345131,845335,243308,140957,96208,892712,258940,131033,6524,27812,93571,7598746,492407,6307538,178588,616584,3629
